Eastern,Mystics,Shatori,Walker,G,16,40,78,8,25,30,35,4,19,16,13,4,20,118
Western,Sparks,Erica,Wheeler,G,32,160,384,33,93,81,98,16,82,152,43,8,87,434
Western,Sparks,Brittney,Sykes,G,32,115,284,11,42,61,79,37,109,70,58,15,45,302
Western,Sparks,Nia,Coffey,F,32,93,221,50,120,28,36,18,104,28,25,38,45,264
Western,Sparks,Te'a,Cooper,G,31,97,256,24,74,63,84,4,49,44,28,6,57,281
Western,Sparks,Amanda,Zahui-B,C,30,106,248,30,107,33,43,24,130,29,19,35,54,275
Western,Sparks,Arella,Guirantes,G,25,26,95,6,27,21,26,6,27,15,8,4,12,79
Western,Sparks,Kristi,Toliver,G,19,67,162,28,83,16,19,8,19,55,14,0,32,178
Western,Sparks,Nneka,Ogwumike,F,18,109,205,11,30,32,40,26,91,48,26,5,39,261
Western,Sparks,Bria,Holmes,G,17,31,95,8,33,13,23,20,27,20,16,6,20,83
Western,Sparks,Lauren,Cox,F,15,19,46,1,5,14,18,11,44,9,10,13,9,53
Eastern,Dream,Elizaneth,Williams,C,32,80,155,0,0,27,53,64,94,38,36,43,26,187
Eastern,Dream,Courtney,Williams,G,32,228,546,39,102,34,53,46,173,128,34,17,58,529
Eastern,Dream,Monique,Billings,F,31,100,202,0,2,52,77,88,112,32,37,32,44,252
Eastern,Dream,Odyssey,Sims,G,30,105,284,16,69,35,48,15,60,108,37,2,49,261
Eastern,Dream,Aari,McDonald,G,30,56,174,32,104,45,51,9,40,59,25,5,35,189
Eastern,Dream,Tianna,Hawkins,F,28,50,126,16,66,21,23,14,73,17,11,14,32,137
Eastern,Dream,Shekinna,Stricklen,F,24,22,85,14,66,2,5,2,20,8,10,4,3,60
Eastern,Dream,Crystal,Bradford,F,24,82,191,29,81,18,39,31,60,36,29,9,23,211
Eastern,Dream,Tiffany,Hayes,G,21,105,240,34,84,64,75,14,53,63,33,4,31,308
Eastern,Dream,Cheyenne,Parker,F,13,50,111,10,30,22,28,13,45,16,15,12,16,132
Eastern,Fever,Lindsay,Allen,G,32,65,152,14,47,30,37,9,39,96,17,3,31,174
Eastern,Fever,Kelsey ,Mitchell,G,32,212,492,70,209,75,85,21,63,80,34,7,65,569
Eastern,Fever,Tearia,McCowan,C,32,138,257,0,0,85,132,109,199,34,18,51,53,361
Eastern,Fever,Victoria,Vivians,G,31,77,231,32,127,25,30,14,81,40,35,4,41,211
Eastern,Fever,Tiffany,Mitchell,G,28,107,254,12,47,110,125,25,55,56,18,1,54,336
Eastern,Fever,Jantel,Lavendar,F,27,76,188,4,20,18,20,46,59,41,0,4,37,174
Eastern,Fever,Jessica,Breland,F,26,67,181,5,16,13,19,37,126,53,16,39,47,152
Eastern,Fever,Danielle,Robinson,G,24,88,211,5,25,56,63,8,77,89,37,2,42,237
Eastern,Fever,Kyrse,Gondrezick,G,19,13,46,8,28,2,4,3,16,18,7,0,17,36
Eastern,Fever,Aaliyah,Wilson,G,14,6,26,1,7,2,4,5,7,8,3,2,9,15
